,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
30,02210,Healthcare,3837.0,"Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS for the treatment of paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS); and SOLIRIS for the treatment of PNH, aHUS, generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). It also provides Strensiq for patients with hypophosphatasia; Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency; and Andexxa, a reversal agent for patients treated with rivaroxaban or apixaban. In addition, the company is developing ALXN1210 (Intravenous) that is in Phase III clinical trials for the treatment of gMG, NMOSD, ALS, COVID-19, and HSCT-TMA; ALXN1210 (Subcutaneous), which is in Phase III clinical trials for PNH and aHUS; ALXN1820 that is in Phase I clinical trial, a therapeutic antagonist of properdin; and ALXN1720, which is in Phase I clinical trial for the treatment of disease states involving dysregulated terminal complement activity. Further, it is developing ALXN1840 that is in Phase III clinical trials for the treatment of Wilson disease; ALXN1830, which are in Phase I clinical trials for neonatal Fc receptor; ALXN2040 and ALXN2050 to treat diseases associated with dysregulation of the complement alternative pathway; ALXN1850, an enzyme replacement therapy; ALXN2060 for treating transthyretin amyloidosis; and ALXN2075 for treatment of relapsed/refractory chronic lymphocytic leukemia. The company serves distributors, pharmacies, hospital, hospital buying groups, and other healthcare providers in the United States and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc.; and agreements with Dicerna Pharmaceuticals, Inc., Zealand Pharma A/S, Caelum Biosciences, Inc., Stealth BioTherapeutics Corp., and Affibody AB. The company was founded in 1992 and is headquartered in Boston, Massachusetts.",Boston,475 230 2596,MA,United States,[],http://www.alexion.com,1.0,121 Seaport Boulevard,203 271 8198,Biotechnology,0.52116,0.10889,0.90942,3090899968.0,0.133,0.47411,3263300096.0,166.0,hold,5516400000.0,1990587520.0,175.0,182.5,0.144,4.524,0.100839995,14.0,177.36,23.177,0.04425,205.0,3469299968.0,2881200128.0,6261600256.0,15.697,USD,28.497,3.465,2.7,NMS,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.",America/New_York,EDT,True,-14400000,EQUITY,ALXN,finmb_347983,us_market,,6.256,,12.004,,,14.23,,221019008.0,,,,56.21,8457846.0,0.0383,,1609372800.0,0.88267,681800000.0,3.081,,,3.2467532,0.00339,1672444800.0,,1617148800.0,4.24,1619740800.0,220088739.0,1.280978,39171989504.0,2.0,,1306108800.0,2:1,,,,0.141,6.441799,1622160000.0,1.46,,12.825018,,0.038399998,9547811.0,,,,182.5,181.04,165.7747,,0.0,,182.67,,0.0,182.5,182.74828,,181.04,,0.0,,,,,,,180.21,USD,59.234013,3.0,,,,40335970304.0,,,4222993.0,180.21,0.0,1000.0,3.0,187.45,,,99.91,0.0,False,,900.0,182.67,182.5,https://logo.clearbit.com/alexion.com,,,,,6f717d54-9576-39b0-9102-beae1b53259f
31,95052-3299,Technology,24800.0,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for processing flexible substrates. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California.",Santa Clara,408 727 5555,CA,United States,[],http://www.appliedmaterials.com,1.0,3050 Bowers Avenue,,Semiconductor Equipment & Materials,0.30544,0.22353001,0.45968,4790000128.0,0.411,0.28618,6056000000.0,125.0,buy,7715000000.0,3012999936.0,160.0,129.22,0.744,3.105,0.15451999,27.0,161.21,47.553,0.42174998,195.0,6765000192.0,5703000064.0,19826999296.0,7.402,USD,21.645,2.142,2.0,NMS,"Applied Materials, Inc.","Applied Materials, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AMAT,finmb_251230,us_market,,6.511,,21.316,,,7.37,,913980992.0,,,,13.122,11841446.0,0.012999999,,1603584000.0,0.82063,4432000000.0,4.802,,,9.847585,0.00369,1666656000.0,,1619913600.0,1.32,1620950400.0,910059779.0,1.450543,129088856064.0,2.0,,1019001600.0,2:1,,,,0.762,5.956757,1623715200.0,0.84,,17.533243,,0.012999999,13334281.0,,,,134.82,132.0,127.72732,0.0065272213,0.1833,,132.02,,5686642.0,134.82,137.37543,0.88,132.0,,5686642.0,,,0.96,1629849600.0,,,127.7,USD,26.90962,12326512.0,,,,118104621056.0,,,7832525.0,127.7,129.22,1400.0,12326512.0,146.0,,1.27,54.15,129.24,False,0.0067000003,900.0,132.02,129.22,https://logo.clearbit.com/appliedmaterials.com,PO Box 58039,,,,58114a02-d74c-3082-9d47-779374f1ba6b
32,95054,Technology,12600.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides x86 microprocessors for desktop PCs under the AMD Ryzen, AMD Ryzen PRO, Ryzen, Threadripper, AMD A-Series, AMD FX, AMD Athlon, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for notebook and 2-in-1s under the AMD Ryzen, AMD A-Series, AMD Athlon, AMD Ryzen PRO, AMD Athlon PRO, and AMD Pro A-Series processors brands; microprocessors for servers under the AMD EPYC and AMD Opteron brands; and chipsets under the AMD trademark. It also offers discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics and AMD Embedded Radeon brands; professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands; and Radeon Instinct and AMD Instinct accelerators for servers. In addition, the company provides embedded processor solutions under the AMD Opteron, AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. Advanced Micro Devices, Inc. was founded in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],http://www.amd.com,1.0,2485 Augustine Drive,,Semiconductors,0.19331,0.25241,0.44791,2034000000.0,0.929,0.16363001,2208000000.0,17.0,buy,4347000000.0,1334249984.0,106.5,106.5,2.318,2.513,0.14682999,34.0,104.64,8.507,0.60605,169.7,3116000000.0,551000000.0,11422000128.0,2.565,USD,9.56,1.851,2.3,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,EQUITY,AMD,finmb_168864,us_market,,8.692,,44.963,,,2.7,,1215020032.0,,,,5.331,84744445.0,0.069699995,,1608940800.0,0.748,2883000064.0,2.382,,,19.977491,0.00522,1672012800.0,,1616803200.0,1.77,1619740800.0,1208326210.0,2.030978,99278061568.0,2.0,,966902400.0,2:1,,,,2.426,11.328982,1622160000.0,1.22,,39.444443,,0.0701,85224498.0,,,,107.68,107.39,85.233185,,0.0,,108.44,,144146014.0,107.68,94.83171,,107.39,,144146014.0,,,,798940800.0,,,106.13,USD,44.710327,60033992.0,,,,129399635968.0,,,55680398.0,106.13,106.49,1100.0,60033992.0,122.49,,,72.5,106.5,False,,3000.0,108.44,106.5,https://logo.clearbit.com/amd.com,,,,,48af4341-f745-363f-945f-a838eeabb062
33,19312-1177,Industrials,16500.0,"AMETEK, Inc. manufactures and sells electronic instruments and electromechanical devices worldwide. It operates in two segments, Electronic Instruments (EIG) and Electromechanical (EMG). The company's EIG segment offers advanced instruments for the process, aerospace, power, and industrial markets; process and analytical instruments for the oil and gas, petrochemical, pharmaceutical, semiconductor, automation, and food and beverage industries; and instruments to the laboratory equipment, ultra-precision manufacturing, medical, and test and measurement markets. This segment also provides power quality monitoring and metering devices, uninterruptible power supplies, programmable power equipment, electromagnetic compatibility test equipment, sensors for gas turbines, dashboard instruments for heavy trucks and other vehicles, and instrumentation and controls for the food and beverage industries; and aircraft and engine sensors, monitoring systems, power supplies, fuel and fluid measurement systems, and data acquisition units for the aerospace industry. Its EMG segment offers engineered electrical connectors and electronics packaging for protecting sensitive electronic devices; precision motion control products for data storage, medical devices, business equipment, automation and other applications; high-purity powdered metals, strip and foil, specialty clad metals, and metal matrix composites; motor-blower systems and heat exchangers for use in thermal management, military, commercial aircraft, and military ground vehicles; and motors for use in commercial appliances, fitness equipment, food and beverage machines, hydraulic pumps, and industrial blowers. This segment also operates a network of aviation maintenance, repair, and overhaul facilities. In addition, the company offers clinical and education communication solutions for healthcare facilities and educational institutions. AMETEK, Inc. was incorporated in 1930 and is headquartered in Berwyn, Pennsylvania.",Berwyn,610 647 2121,PA,United States,[],http://www.ametek.com,1.0,1100 Cassatt Road,,Specialty Industrial Machinery,0.29569,0.17787,0.35854,,0.37,0.24351,1457136000.0,137.0,buy,1587214000.0,,151.0,137.25,0.389,1.099,0.06798,15.0,151.72,46.696,0.14819,170.0,390644000.0,2962096128.0,4927976960.0,1.692,USD,21.407,0.616,2.1,NYQ,"AMETEK, Inc.","AMETEK, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AME,finmb_31860,us_market,,7.022,,23.748,,,5.11,,230919008.0,,,,26.506,2020718.0,0.0088,,1609372800.0,0.88295,876518016.0,3.491,,,5.178073,0.00422,1672444800.0,,1625011200.0,2.29,1623715200.0,229747725.0,1.331882,34603454464.0,2.0,,1341187200.0,3:2,,,,0.394,6.431368,1626307200.0,-24.62,,26.859098,,0.0098,1285346.0,,,,137.45,137.56,129.85341,0.005383776,0.21200001,,137.805,,1002728.0,137.45,135.67258,0.74,137.56,,1002728.0,,,0.8,1623369600.0,,,136.91,USD,39.315384,475315.0,,,,31693633536.0,,,914859.0,136.91,137.27,800.0,475315.0,140.1,,0.63,94.9,137.09,False,0.0058,900.0,137.805,137.25,https://logo.clearbit.com/ametek.com,,,,,51e0f2d7-4a9b-3046-bc65-f01426903258
34,33401,Financial Services,3900.0,"Affiliated Managers Group, Inc., through its affiliates, operates as an asset management company providing investment management services to mutual funds, institutional clients, and high net worth individuals in the United States. It provides advisory or subadvisory services to mutual funds. These funds are distributed to retail and institutional clients directly and through intermediaries, including independent investment advisors, retirement plan sponsors, broker-dealers, major fund marketplaces, and bank trust departments. The company also offers investment products in various investment styles in the institutional distribution channel, including small, small/mid, mid, and large capitalization value and growth equity, and emerging markets. In addition, it offers quantitative, alternative, and fixed income products, and manages assets for foundations and endowments, defined benefit, and defined contribution plans for corporations and municipalities. Affiliated Managers Group provides investment management or customized investment counseling and fiduciary services. The company was formed as a corporation under the laws of Delaware in 1993. Affiliated Managers Group is based in Prides Crossing, Massachusetts.",West Palm Beach,800-345-1100,FL,United States,[],http://www.amg.com,1.0,777 South Flagler Drive,,Asset Management,0.39479,0.20323,0.5648,1184800000.0,0.245,0.36161,866400000.0,148.0,buy,1143800000.0,402100000.0,161.5,170.48,2.919,75.985,0.063930005,8.0,169.75,65.226,0.18187,213.0,840700032.0,2552699904.0,2194599936.0,20.402,USD,50.105,75.782,2.5,NYQ,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AMG,finmb_24445,us_market,,4.465,,11.31,,,18.28,,41636700.0,,,,63.426,807485.0,0.0194,,1609372800.0,1.03653,446000000.0,8.082,,,2.6878567,0.0058,1672444800.0,,1625011200.0,2.37,1623715200.0,40964762.0,1.368477,9798889472.0,2.0,,1080604800.0,3:2,,,,2.55,3.2344048,1626307200.0,0.73,,9.326038,,0.023699999,810048.0,,,,170.08,171.41,153.3047,0.00023518344,0.004,,171.41,,175671.0,170.08,163.54715,0.04,171.41,,175671.0,,,0.04,1628121600.0,,,167.37,USD,21.093788,143229.0,,,,7098224640.0,,,296015.0,167.37,170.46,900.0,143229.0,180.97,,,62.19,170.3,False,0.0002,1100.0,171.41,170.48,https://logo.clearbit.com/amg.com,,,,,378ff3b4-a7e8-3873-a38b-320c4b5578a0
35,91320-1799,Healthcare,24300.0,"Amgen Inc. discovers, develops, manufactures, and delivers human therapeutics worldwide. It focuses on inflammation, oncology/hematology, bone health, cardiovascular disease, nephrology and neuroscience areas. The company's products include Enbrel to treat plaque psoriasis, rheumatoid arthritis, and psoriatic arthritis; Neulasta that reduces the chance of infection due a low white blood cell count in patients cancer; Prolia to treat postmenopausal women with osteoporosis; Xgeva for skeletal-related events prevention; Otezla for the treatment of adult patients with plaque psoriasis, psoriatic arthritis, and oral ulcers associated with BehÃ§et's disease; Aranesp to treat a lower-than-normal number of red blood cells and anemia; KYPROLIS to treat patients with relapsed or refractory multiple myeloma; and Repatha, which reduces the risks of myocardial infarction, stroke, and coronary revascularization. It also markets Nplate, Vectibix, MVASI, Parsabiv, EPOGEN, KANJINTI, BLINCYTO, Aimovig, EVENITY, AMGEVITATM, Sensipar/Mimpara, NEUPOGEN, IMLYGIC, Corlanor, and AVSOLA. Amgen Inc. serves healthcare providers, including physicians or their clinics, dialysis centers, hospitals, and pharmacies. It distributes its products through pharmaceutical wholesale distributors, as well as direct-to-consumer channels. The company has collaboration agreements with Novartis Pharma AG; UCB; Bayer HealthCare LLC; BeiGene, Ltd.; Eli Lilly and Company; and Datos Health. It also has an agreement with Kyowa Kirin Co., Ltd. to jointly develop and commercialize KHK4083, a Phase 3-ready anti-OX40 fully human monoclonal antibody for the treatment of atopic dermatitis and other autoimmune diseases. Amgen Inc. was founded in 1980 and is headquartered in Thousand Oaks, California.",Thousand Oaks,805 447 1000,CA,United States,[],http://www.amgen.com,1.0,One Amgen Center Drive,805 447 1010,Drug Manufacturers—General,0.49618,0.28155002,0.75615996,10467000320.0,-0.042,0.36171,12485999616.0,185.0,buy,19265000000.0,9554124800.0,265.0,228.15,-0.078,1.655,0.0916,23.0,254.96,350.171,0.75295997,298.0,10565999616.0,32685000704.0,25163999232.0,18.39,USD,43.181,1.165,2.4,NMS,Amgen Inc.,Amgen Inc.,America/New_York,EDT,True,-14400000,EQUITY,AMGN,finmb_24816,us_market,,6.329,,12.756,,,17.83,,574553984.0,,,,16.225,10035777.0,0.0175,,1609372800.0,0.78046,7085000192.0,12.073,,,14.061632,0.00193,1672444800.0,,1617148800.0,3.21,1619740800.0,573462333.0,0.713043,159270780928.0,2.0,,943228800.0,2:1,,,,-0.098,5.209207,1622160000.0,2.44,,12.79585,,0.0175,10614036.0,,,,228.13,228.2,242.53355,0.028755533,0.5435,,229.48,,3127100.0,228.13,242.08144,6.56,228.2,,3127100.0,,,7.04,1620950400.0,,,225.81,USD,18.89754,1773777.0,,,,131084484608.0,,,2457054.0,225.81,228.03,1100.0,1773777.0,276.69,,2.65,210.28,227.52,False,0.0295,800.0,229.48,228.15,https://logo.clearbit.com/amgen.com,,,,,9376b97e-b428-3231-ba0b-142b20481cb4
36,55474,Financial Services,12300.0,"Ameriprise Financial, Inc., through its subsidiaries, provides various financial products and services to individual and institutional clients in the United States and internationally. It operates through four segments: Advice & Wealth Management, Asset Management, Retirement & Protection Solutions, and Corporate & Other. The Advice & Wealth Management segment provides financial planning and advice; brokerage products and services for retail and institutional clients; discretionary and non-discretionary investment advisory accounts; mutual funds; insurance and annuities products; cash management and banking products; and face-amount certificates. The Asset Management segment offers investment management and advice, and investment products to retail, high net worth, and institutional clients through unaffiliated third-party financial institutions and institutional sales force. This segment products also include U.S. mutual funds and their non-U.S. equivalents, exchange-traded funds, variable product funds underlying insurance, and annuity separate accounts; and institutional asset management products, such as traditional asset classes, separately managed accounts, individually managed accounts, collateralized loan obligations, hedge funds, collective funds, and property and infrastructure funds. The Retirement & Protection Solutions segment provides variable annuity products to individual clients, as well as life and DI insurance products to retail clients. The company was formerly known as American Express Financial Corporation and changed its name to Ameriprise Financial, Inc. in September 2005. Ameriprise Financial, Inc. was founded in 1894 and is headquartered in Minneapolis, Minnesota.",Minneapolis,612 671 2052,MN,United States,[],http://www.ameriprise.com,1.0,55 Ameriprise Financial Center,,Asset Management,0.08993,-0.00529,0.33141,-1270000000.0,0.109,0.07203,1104999936.0,250.0,buy,5816000000.0,-2321999872.0,285.0,272.8,-0.775,2.75,0.0035499998,9.0,280.33,112.523,-0.01066,295.0,6790000128.0,6191000064.0,12286999552.0,58.583,USD,100.589,1.908,1.8,NYQ,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AMP,finmb_4165019,us_market,,2.244,,24.954,,,22.56,,115905000.0,,,,47.436,2281352.0,0.0197,,1609372800.0,0.85296994,-65000000.0,-0.532,,,5.750906,0.00225,1672444800.0,,1617148800.0,3.43,1619740800.0,115564119.0,1.695652,27573999616.0,2.0,,,,,,,-0.785,2.573361,1622160000.0,1.24,,12.092198,,0.0224,2306528.0,,,,271.32,269.8,241.22696,0.015332447,,,273.175,,365542.0,271.32,251.18086,4.16,269.8,,365542.0,,,4.52,1620345600.0,,,269.61,USD,,341820.0,,,,31618883584.0,,,605468.0,269.61,272.57,800.0,341820.0,273.175,,2.48,141.82,272.46,False,0.0186,800.0,273.175,272.8,https://logo.clearbit.com/ameriprise.com,,,,,9c37cba6-d890-3746-852b-1fb10c11ab1b
37,02116,Real Estate,5618.0,"American Tower, one of the largest global REITs, is a leading independent owner, operator and developer of multitenant communications real estate with a portfolio of approximately 181,000 communications sites.",Boston,617-375-7500,MA,United States,[],http://www.americantower.com,1.0,116 Huntington Avenue,617-375-7575,REIT—Specialty,0.6345,0.23402001,0.72589993,4174099968.0,0.083,0.39903,5207300096.0,250.0,buy,5814300000.0,3966037504.0,285.0,280.05,0.559,0.72,0.04666,21.0,281.62,806.176,0.42044997,325.0,1913600000.0,36695498752.0,8206900224.0,4.302,USD,18.484,0.636,1.9,NYQ,American Tower Corporation (REI,American Tower Corporation (REIT),America/New_York,EDT,True,-14400000,EQUITY,AMT,finmb_24766,us_market,,19.411,,30.592,,,5.46,,454696000.0,,,,8.731,4198537.0,0.0092,,1609372800.0,0.90205,1920600064.0,4.31,,,32.075363,0.0031299999,1672444800.0,,1617148800.0,2.61,1620950400.0,443280636.0,0.231229,159304138752.0,2.0,,,,,,,0.554,15.515921,1623715200.0,2.73,,51.291206,,0.0106,3380228.0,,,,277.22,278.0,249.57333,0.016917972,1.051,,280.47,,1241214.0,277.22,278.27713,4.69,278.0,,1241214.0,,,5.08,1623888000.0,,,276.19,USD,64.9768,870100.0,,,,127337611264.0,,,1514864.0,276.19,281.04,800.0,870100.0,289.51,,1.8,197.5,275.51,False,0.0182,800.0,280.47,280.05,https://logo.clearbit.com/americantower.com,11th Floor,,,,93037c7a-3d3b-3a0c-bac0-a08bc747c258
38,98109-5210,Consumer Cyclical,1271000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,[],http://www.amazon.com,1.0,410 Terry Avenue North,,Internet Retail,0.13641,0.06419,0.40483,67213000704.0,0.438,0.071040004,57172000768.0,3775.0,buy,152757000000.0,31386875904.0,4200.0,3303.5,2.152,1.052,0.06838,48.0,4241.33,98.257,0.31915,5500.0,73270001664.0,101518999552.0,419130015744.0,145.284,USD,835.753,0.843,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,True,-14400000,EQUITY,AMZN,finmb_18749,us_market,,4.49,,32.918,,,72.27,,504324000.0,,,,205.0,4826456.0,0.0095999995,,1609372800.0,0.59153,26902999040.0,52.562,,,16.114634,0.13666001,1672444800.0,,1617148800.0,1.77,1620950400.0,452171618.0,1.151795,1882011992064.0,2.0,,936230400.0,2:1,,,,2.198,3.974982,1623715200.0,1.61,,45.710533,,0.0111,4812315.0,,,,3292.11,3290.0,3316.4,,0.0,,3314.51,,2759785.0,3292.11,3530.4011,,3290.0,,2759785.0,,,,,,,3269.67,USD,62.849586,2230314.0,,,,1666034302976.0,,,3362678.0,3269.67,3303.5,1300.0,2230314.0,3773.08,,,2871.0,3301.35,False,,900.0,3314.51,3303.5,https://logo.clearbit.com/amazon.com,,,,,261fd26b-0151-3813-b0d0-97e4ed4c6505
39,95054,Technology,2613.0,"Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms. It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services. The company serves a range of industries comprising internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, and others. It markets and sells its products through distributors, value-added resellers, system integrators, and original equipment manufacturer partners, as well as through its direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was incorporated in 2004 and is headquartered in Santa Clara, California.",Santa Clara,408 547 5500,CA,United States,[],http://www.arista.com,1.0,5453 Great America Parkway,408 538 8920,Computer Hardware,0.32553002,0.27716,0.63869,920092032.0,0.308,0.30702,855745024.0,300.0,buy,1481886000.0,660543232.0,345.0,366.99,0.35,5.033,0.10569999,19.0,354.47,1.739,0.21638,433.0,3281702912.0,64295000.0,2628794112.0,42.777,USD,34.518,4.24,2.3,NYQ,"Arista Networks, Inc.","Arista Networks, Inc.",America/New_York,EDT,True,-14400000,EQUITY,ANET,finmb_33348547,us_market,,9.796,,30.092,,,11.45,,76321800.0,,,,45.259,1573931.0,0.020599999,,1609372800.0,0.66274,728587008.0,8.533,,,8.108664,0.26665002,1672444800.0,,1625011200.0,3.38,1623715200.0,56184193.0,1.158149,25750792192.0,2.0,,,,,,,0.36,10.654823,1626307200.0,2.85,,32.05153,,0.033,1845532.0,,,,369.1,368.51,329.51892,,0.0,,368.22,,440342.0,369.1,371.24286,,368.51,,440342.0,,,,,,,364.7,USD,43.00832,352342.0,,,,28009336832.0,,,424125.0,364.7,367.12,4000.0,352342.0,384.0,,,192.96,362.02,False,,1100.0,368.22,366.99,https://logo.clearbit.com/arista.com,,,,,bbe42b96-ac16-33e3-9f09-5628654f1968
