,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,fax
10,95054-1549,Technology,113700,"Intel Corporation designs, manufactures, and sells essential technologies for the cloud, smart, and connected devices for retail, industrial, and consumer uses worldwide. The company operates through DCG, IOTG, Mobileye, NSG, PSG, CCG, and All Other segments. It offers platform products, such as central processing units and chipsets, and system-on-chip and multichip packages; and non-platform or adjacent products comprising accelerators, boards and systems, connectivity products, and memory and storage products. The company also provides Internet of Things products, including high-performance compute solutions for targeted verticals and embedded applications; and computer vision and machine learning-based sensing, data analysis, localization, mapping, and driving policy technology. It serves original equipment manufacturers, original design manufacturers, and cloud service providers. Intel Corporation has a strategic partnership with MILA to develop and apply advances in artificial intelligence methods for enhancing the search in the space of drugs. The company was founded in 1968 and is headquartered in Santa Clara, California.",Santa Clara,408 765 8080,CA,United States,[],http://www.intel.com,1,2200 Mission College Boulevard,Semiconductors,0.44643003,0.23906,0.55594003,32362999808.0,-0.005,0.29331,34650001408.0,40.0,hold,43612000000,6619250176.0,67.0,53.679,0.042,1.988,0.092650004,35,64.58,41.556,0.22193001,85,24856999936,35408998400,77614997504,6.127,USD,18.942,1.301,2.8,NMS,Intel Corporation,Intel Corporation,America/New_York,EDT,False,-14400000,EQUITY,INTC,finmb_21127,us_market,,2.966,,6.644,0.11490941,,4.57,,4056999936,,,,21.002,54501589,0.0134000005,,1608940800,0.65694,18555000832,4.503,0.348,0.31688225,2.5558994,0.00068000006,1672012800,,1624665600,2.19,1625011200,4053348700,,230197985280,2,,965001600.0,2:1,,1620259200,,-0.009,,1627603200,2.26,,11.745952,,0.0134000005,61704163,,,,54.14,54.17,58.67079,0.025027707,,,54.175,,17014850,54.14,55.124,1.355,54.17,,17014850,,,,,,,53.255,USD,11.92072,10754724,,,,217775702016,,,22893968,53.255,53.7,1800,10754724,68.49,,,43.61,53.69,False,,2200,54.175,53.679,https://logo.clearbit.com/intel.com,,
11,08933,Healthcare,136000,"Johnson & Johnson researches and develops, manufactures, and sells a range of products in the health care field worldwide. It operates through three segments: Consumer Health, Pharmaceutical, and Medical Devices. The Consumer Health segment offers baby care products under the JOHNSON'S and AVEENO Baby brands; oral care products under the LISTERINE brand; skin health/beauty products under the AVEENO, CLEAN & CLEAR, DR. CI:LABO, NEUTROGENA, and OGX brands; acetaminophen products under the TYLENOL brand; cold, flu, and allergy products under the SUDAFED brand; allergy products under the BENADRYL and ZYRTEC brands; ibuprofen products under the MOTRIN IB brand; smoking cessation products under the NICORETTE brand; and acid reflux products under the PEPCID brand. This segment also provides women's health products, such as sanitary pads and tampons under the STAYFREE, CAREFREE, and o.b. brands; wound care products comprising adhesive bandages under the BAND-AID brand; and first aid products under the NEOSPORIN brand. The Pharmaceutical segment offers products in various therapeutic areas, including immunology, infectious diseases, neuroscience, oncology, pulmonary hypertension, and cardiovascular and metabolic diseases. The Medical Devices segment provides electrophysiology products to treat cardiovascular diseases and neurovascular care products to treat hemorrhagic and ischemic stroke; orthopaedics products in support of hips, knees, trauma, spine, sports, and other; advanced and general surgery solutions that focus on breast aesthetics, ear, nose, and throat procedures; and disposable contact lenses and ophthalmic products related to cataract and laser refractive surgery under the ACUVUE brand. The company markets its products to general public, and retail outlets and distributors, as well as distributes directly to wholesalers, hospitals, and health care professionals for prescription use. Johnson & Johnson was founded in 1886 and is based in New Brunswick, New Jersey.",New Brunswick,732 524 0400,NJ,United States,[],http://www.jnj.com,1,One Johnson & Johnson Plaza,Drug Manufacturers—General,0.34375,0.1992,0.67120004,26114000896.0,0.271,0.25976,30659000320.0,160.0,buy,54257000000,21753749504.0,188.5,175.2,0.728,1.389,0.086490005,18,187.39,48.121,0.26806,204,25305999360,33482999808,89189998592,9.613,USD,33.885,1.038,1.9,NYQ,Johnson & Johnson,Johnson & Johnson,America/New_York,EDT,False,-14400000,EQUITY,JNJ,finmb_139677,us_market,,5.221,,15.19,0.17432427,,10.42,,2632480000,,,,26.436,17217900,0.0064999997,,1609632000,0.69106,17767000064,6.652,1.06,0.31688225,6.627326,0.00081,1672704000,,1625356800,2.71,1625011200,2629665336,0.705755,465702387712,2,,992390400.0,2:1,,1621814400,,0.731,5.171101,1627603200,2.34,,16.81382,,0.0064999997,14559816,,,,173.8,173.82,165.5472,0.023532797,0.615,,175.28,,4408550,173.8,169.5877,4.09,173.82,,4408550,,,4.24,1629676800.0,,,173.59,USD,26.337944,3866658,,,,461210484736,,,6196526,173.59,175.3,1200,3866658,175.28,,2.61,133.65,174.35,False,0.024400001,900,175.28,175.2,https://logo.clearbit.com/jnj.com,,
12,10179,Financial Services,260110,"JPMorgan Chase & Co. operates as a financial services company worldwide. It operates in four segments: Consumer & Community Banking (CCB), Corporate & Investment Bank (CIB), Commercial Banking (CB), and Asset & Wealth Management (AWM). The CCB segment offers deposit and investment products and services to consumers; lending, deposit, and cash management and payment solutions to small businesses; mortgage origination and servicing activities; residential mortgages and home equity loans; and credit card, auto loan, and leasing services. The CIB segment provides investment banking products and services, including corporate strategy and structure advisory, and equity and debt markets capital-raising services, as well as loan origination and syndication; wholesale payments and cross-border financing; and cash securities and derivative instruments, risk management solutions, prime brokerage, and research. This segment also offers securities services, including custody, fund accounting and administration, and securities lending products for asset managers, insurance companies, and public and private investment funds. The CB segment provides financial solutions, including lending, investment banking, and asset management to small business, large and midsized corporations, local governments, and nonprofit clients; and commercial real estate banking services to investors, developers, and owners of multifamily, as well as to office, retail, industrial, and affordable housing properties. The AWM segment offers multi-asset investment management solutions across equities, fixed income, alternatives, and money market funds to institutional clients and retail investors; and retirement products and services, brokerage, custody, trusts and estates, loans, mortgages, deposits, and investment management products. The company also provides ATM, online and mobile, and telephone banking services. JPMorgan Chase & Co. was founded in 1799 and is headquartered in New York, New York.",New York,212-270-6000,NY,United States,[],http://www.jpmorganchase.com,1,383 Madison Avenue,Banks—Diversified,0.0,0.37177,0.0,-73082003456.0,0.45,0.46907002,,110.0,buy,102063000000,,171.5,161.79,1.739,,0.01387,26,167.23,,0.17365,200,1467996045312,721534976000,128645996544,491.272,USD,41.948,,2.3,NYQ,JP Morgan Chase & Co.,JPMorgan Chase & Co.,America/New_York,EDT,False,-14400000,EQUITY,JPM,finmb_658776,us_market,,-1.804,,,0.5742893,,11.85,,2988160000,,,,84.851,20458417,0.0068,,1609372800,0.73521006,46058000384,14.989,0.9,0.31688225,1.9067541,0.00903,1672444800,,1625011200,1.54,1625011200,2961889469,1.184507,-232051884032,2,,960768000.0,3:2,,1625184000,,1.549,3.758021,1627603200,3.88,,13.653164,,0.0069,19216966,,,,161.16,161.88,152.74611,0.022338048,0.2402,,162.35,,10070375,161.16,153.68686,3.6,161.88,,10070375,,,3.6,1625184000.0,,,160.5539,USD,10.793915,8822570,,,,483454386176,,,13660362,160.5539,161.8,1100,8822570,167.44,,2.53,91.38,161.55,False,0.0223,800,162.35,161.79,https://logo.clearbit.com/jpmorganchase.com,,
13,30313,Consumer Defensive,80300,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide. The company provides sparkling soft drinks; water, enhanced water, and sports drinks; juice, dairy, and plantÂbased beverages; tea and coffee; and energy drinks. It also offers beverage concentrates and syrups, as well as fountain syrups to fountain retailers, such as restaurants and convenience stores. The company sells its products under the Coca-Cola, Diet Coke/Coca-Cola Light, Coca-Cola Zero Sugar, Fanta, Fresca, Schweppes, Sprite, Thums Up, Aquarius, Ciel, Dasani, glacÃ©au smartwater, glacÃ©au vitaminwater, Ice Dew, I LOHAS, Powerade, Topo Chico, AdeS, Del Valle, fairlife, innocent, Minute Maid, Minute Maid Pulpy, Simply, Ayataka, Costa, dogadan, FUZE TEA, Georgia, Gold Peak, HONEST TEA, and Kochakaden brands. It operates through a network of independent bottling partners, distributors, wholesalers, and retailers, as well as through bottling and distribution operators. The company was founded in 1886 and is headquartered in Atlanta, Georgia.",Atlanta,404 676 2121,GA,United States,[],http://www.coca-colacompany.com,1,One Coca-Cola Plaza,Beverages—Non-Alcoholic,0.35703,0.22188,0.60615003,12583000064.0,0.417,0.31481,12999999488.0,53.0,buy,19581000000,7454374912.0,60.0,56.84,0.488,1.469,0.0775,23,59.8,173.391,0.37257,67,13045999616,42055999488,36411998208,3.022,USD,8.46,1.117,2.2,NYQ,Coca-Cola Company (The),The Coca-Cola Company,America/New_York,EDT,False,-14400000,EQUITY,KO,finmb_26642,us_market,,7.577,,21.223,0.17259192,,2.36,,4316619776,,,,5.156,32051341,0.0074,,1609372800,0.68301004,8079000064,1.871,0.42,0.31688225,11.02405,0.00637,1672444800,,1625184000,2.29,1625011200,3887762635,0.62937,275897778176,2,,1344816000.0,2:1,,1623628800,,0.485,6.738347,1627603200,2.73,,24.084747,,0.0075,25354239,4311130112.0,,,56.73,56.73,53.39446,0.029261414,0.88769996,,56.98,,9855387,56.73,55.672573,1.66,56.73,,9855387,,,1.68,1631577600.0,,,56.73,USD,30.379475,5936174,,,,245356675072,,,14109559,56.73,56.84,3200,5936174,57.56,,3.23,46.97,56.83,False,0.0296,1000,56.98,56.84,https://logo.clearbit.com/coca-colacompany.com,,
14,60607,Consumer Cyclical,200000,"McDonald's Corporation operates and franchises McDonald's restaurants in the United States and internationally. Its restaurants offer various food products and beverages, as well as breakfast menu. As of December 31, 2020, the company operated 39,198 restaurants. McDonald's Corporation was founded in 1940 and is based in Chicago, Illinois.",Chicago,630 623 3000,IL,United States,[],http://corporate.mcdonalds.com,1,110 North Carpenter Street,Restaurants,0.5007,0.31715,0.53221,8789499904.0,0.565,0.41693002,10887499776.0,225.0,buy,9752100000,6065037312.0,260.0,236.67,3.538,1.449,0.11128,32,258.34,,,283,3053400064,49261998080,21744400384,4.089,USD,29.166,1.236,2.0,NYQ,McDonald's Corporation,McDonald's Corporation,America/New_York,EDT,False,-14400000,EQUITY,MCD,finmb_139488,us_market,,10.215,,20.401,0.14073324,,9.56,,746798976,,,,-7.777,6273915,0.0084,,1609372800,0.68856,6896300032,9.189,1.29,0.31688225,,0.00046999997,1672444800,,1625011200,2.46,1625011200,746186500,0.633136,222117068800,2,,920851200.0,2:1,,1622160000,,3.587,8.128295,1627603200,1.33,,24.756275,,0.0084,5482307,,,,235.55,236.0,227.41331,0.021736361,0.5571,,236.74,,2264087,235.55,236.05571,5.12,236.0,,2264087,,,5.16,1630368000.0,,,235.05,USD,25.755795,1244895,,,,176744906752,,,2475890,235.05,236.76,800,1244895,247.05,,2.45,202.73,236.19,False,0.0219,1200,236.74,236.67,https://logo.clearbit.com/corporate.mcdonalds.com,,
15,55144-1000,Industrials,95000,"3M Company develops, manufactures, and markets various products worldwide. It operates through four business segments: Safety and Industrial, Transportation and Electronics, Health Care, and Consumer. The Safety and Industrial segment offers personal safety products, industrial adhesives and tapes, abrasives, closure and masking systems, electrical markets, automotive aftermarket, and roofing granules to industrial, electrical, and safety markets. The Transportation and Electronics provides electronics, such as display materials and systems, electronic materials solutions; automotive and aerospace, and commercial solutions; advanced materials; and transportation safety products to transportation and electronic original equipment manufacturer customers. The Health Care segment offers medical and surgical supplies, skin health and infection prevention products, oral care, separation and purification sciences, health information systems, drug delivery systems, and food safety products to healthcare industry. The Consumer segment provides home improvement, home care, and consumer health care products, as well as stationery and office supplies to various consumers. This segment is also involved in the retail auto care business. It offers its products through various e-commerce and traditional wholesalers, retailers, jobbers, distributors, and dealers, as well as directly to users. 3M Company has a strategic collaboration with Merry Maids in residential cleaning sector; and collaborations with The Infectious Disease Research Institute and Duke Human Vaccine Institute to create a vaccine candidate with potential to provide protection against multiple variants of SARS-CoV-2. The company was founded in 1902 and is headquartered in St. Paul, Minnesota.",St. Paul,651-733-1110,MN,United States,[],http://www.3m.com,1,3M Center,Specialty Industrial Machinery,0.29003,0.17038,0.48703998,8569999872.0,0.247,0.23501,10074000384.0,134.0,hold,15685000000,5909624832.0,200.0,201.43,0.151,1.731,0.10925999,17,196.65,131.71,0.46612,218,5503000064,19118999552,34733998080,9.51,USD,59.938,1.112,3.0,NYQ,3M Company,3M Company,America/New_York,EDT,False,-14400000,EQUITY,MMM,finmb_289194,us_market,,3.752,,12.936,0.21530211,,10.57,,578638016,,,,24.969,10904704,0.0188,,1609372800,0.68179,5918000128,10.112,1.48,0.31688225,8.0672035,0.00116,1672444800,,1625011200,4.93,1625011200,577995965,0.958579,130320113664,2,,1064880000.0,2:1,,1621468800,,0.167,3.3556476,1627603200,2.5,,19.056765,,0.0189,11795242,,,,201.57,201.48,193.6462,0.029270228,0.5836,,202.3,,1662212,201.57,198.75429,5.9,201.48,,1662212,,,5.92,1621468800.0,,,200.43,USD,19.919895,955023,,,,116555055104,,,2087485,200.43,201.43,1200,955023,208.95,,2.88,156.13,201.25,False,0.0294,1000,202.3,201.43,https://logo.clearbit.com/3m.com,,
16,07033,Healthcare,73000,"Merck & Co., Inc. operates as a healthcare company worldwide. It operates through two segments, Pharmaceutical and Animal Health segments. The Pharmaceutical segment offers human health pharmaceutical products in the areas of oncology, hospital acute care, immunology, neuroscience, virology, cardiovascular, diabetes, and women's health, as well as vaccine products. The Animal Health segment provides discovers, develops, manufactures, and markets a range of veterinary pharmaceuticals, vaccines, and health management solutions and services, as well as a suite of digitally connected identification, traceability, and monitoring products. The company has collaborations with AstraZeneca PLC; Bayer AG; Eisai Co., Ltd.; and Ridgeback Biotherapeutics. It serves drug wholesalers and retailers, hospitals, and government agencies; managed health care providers, such as health maintenance organizations, pharmacy benefit managers, and other institutions; and physicians and physician distributors, veterinarians, and animal producers. The company has collaboration agreement with Gilead Sciences, Inc. to co-develop and co-commercialize long-acting investigational treatment combinations of Lenacapavir and Islatravir in HIV; Amathus Therapeutics to develop treatments for neurodegenerative diseases; and Linnaeus Therapeutics, Inc. to evaluate LNS8801 in combination with KEYTRUDA for patients with advanced cancer. It also has a collaboration with Biomed X Gmbh for building on ongoing research projects in the fields of oncology (DNA damage response and RNA splicing) and autoimmunity (intestinal epithelial barrier in autoimmune diseases); and a collaboration agreement with NGM Biopharmaceuticals, Inc. to focus primarily on the development of novel medicines for unmet patient needs in retinal and CVM diseases, including heart failure. Merck & Co., Inc. was founded in 1891 and is headquartered in Kenilworth, New Jersey.",Kenilworth,908 740 4000,NJ,United States,[],http://www.merck.com,1,2000 Galloping Hill Road,Drug Manufacturers—General,0.3951,0.11056,0.72308,10858000384.0,0.219,0.33021998,19906000896.0,75.0,buy,34572000000,8576249856.0,92.0,76.04,-0.483,1.309,0.114700004,22,93.02,79.433,0.20395,107,8586999808,26520999936,50382000128,3.392,USD,19.91,0.774,2.1,NYQ,"Merck & Company, Inc.","Merck & Co., Inc.",America/New_York,EDT,False,-14400000,EQUITY,MRK,finmb_288502,us_market,,4.136,,10.467,-0.056498945,,6.57,,2531369984,,,,13.145,23173019,0.0091,,1609372800,0.75508004,6213000192,2.196,0.65,0.31688225,5.784709,0.00075,1672444800,,1625011200,2.65,1625011200,2510566796,0.422807,208362061824,2,,1622678400.0,1048:1000,,1623628800,,-0.485,3.8205187,1627603200,1.17,,11.57382,,0.0092,23932756,,,,75.21,75.12,74.22312,0.03350618,1.0449,,76.06,,9168925,75.21,76.99343,2.52,75.12,,9168925,,,2.6,1631577600.0,,,75.14,USD,34.626595,4882268,,,,192485376000,,,11260748,75.14,76.04,1800,4882268,83.778625,,2.94,68.43511,75.99,False,0.0346,1100,76.06,76.04,https://logo.clearbit.com/merck.com,,
17,98052-6399,Technology,181000,"Microsoft Corporation develops, licenses, and supports software, services, devices, and solutions worldwide. Its Productivity and Business Processes segment offers Office, Exchange, SharePoint, Microsoft Teams, Office 365 Security and Compliance, and Skype for Business, as well as related Client Access Licenses (CAL); Skype, Outlook.com, OneDrive, and LinkedIn; and Dynamics 365, a set of cloud-based and on-premises business solutions for small and medium businesses, organizations, and enterprise divisions. Its Intelligent Cloud segment licenses SQL, Windows Servers, Visual Studio, System Center, and related CALs; GitHub that provides a collaboration platform and code hosting service for developers; and Azure, a cloud platform. It also offers support services and Microsoft consulting services to assist customers in developing, deploying, and managing Microsoft server and desktop solutions; and training and certification to developers and IT professionals on Microsoft products. Its More Personal Computing segment provides Windows original equipment manufacturer (OEM) licensing and other non-volume licensing of the Windows operating system; Windows Commercial, such as volume licensing of the Windows operating system, Windows cloud services, and other Windows commercial offerings; patent licensing; Windows Internet of Things; and MSN advertising. It also offers Surface, PC accessories, PCs, tablets, gaming and entertainment consoles, and other devices; Gaming, including Xbox hardware, and Xbox content and services; video games and third-party video game royalties; and Search, including Bing and Microsoft advertising. It sells its products through OEMs, distributors, and resellers; and directly through digital marketplaces, online stores, and retail stores. It has a collaboration with Dynatrace, Inc., Morgan Stanley, Micro Focus, WPP plc, ACI Worldwide, Inc., and iCIMS, Inc. Microsoft Corporation was founded in 1975 and is headquartered in Redmond, Washington.",Redmond,425 882 8080,WA,United States,[],http://www.microsoft.com,1,One Microsoft Way,Software—Infrastructure,0.48080003,0.36451998,0.68926,76740001792.0,0.213,0.41595,80815996928.0,256.7,buy,115856000000,41337249792.0,300.0,289.81,0.486,2.08,0.13761,33,298.92,57.947,0.47079,340,130256003072,82277998592,168087994368,17.333,USD,22.272,1.898,1.6,NMS,Microsoft Corporation,Microsoft Corporation,America/New_York,EDT,False,-14400000,EQUITY,MSFT,finmb_21835,us_market,,12.544,,26.089,0.37494016,,8.37,,7514890240,,,,18.884,47983963,0.0064,,1625011200,0.72051,61270999040,8.05,0.56,0.31688225,15.346853,0.00078,1688083200,,1625011200,1.94,1625011200,7507000612,0.776223,2108419997696,2,,1045526400.0,2:1,,1621382400,,0.469,12.956847,1627603200,2.07,,34.62485,,0.0064,50822833,,,,286.95,286.63,254.14114,0.007806238,0.272,,289.97,,16188112,286.95,280.53427,2.24,286.63,,16188112,,,2.24,1629244800.0,,,286.34,USD,36.00124,12803680,,,,2177890385920,,,22891895,286.34,289.78,2200,12803680,291.55,,1.54,196.25,289.76,False,0.0078,900,289.97,289.81,https://logo.clearbit.com/microsoft.com,,
18,97005-6453,Consumer Cyclical,73300,"NIKE, Inc., together with its subsidiaries, designs, develops, markets, and sells athletic footwear, apparel, equipment, and accessories worldwide. The company offers NIKE brand products in six categories, including running, NIKE basketball, the Jordan brand, football, training, and sportswear. It also markets products designed for kids, as well as for other athletic and recreational uses, such as American football, baseball, cricket, golf, lacrosse, skateboarding, tennis, volleyball, walking, wrestling, and other outdoor activities; and apparel with licensed college and professional team, and league logos, as well as sells sports apparel. In addition, the company sells a line of performance equipment and accessories comprising bags, socks, sport balls, eyewear, timepieces, digital devices, bats, gloves, protective equipment, and other equipment for sports activities; and various plastic products to other manufacturers. Further, it provides athletic and casual footwear, apparel, and accessories under the Jumpman trademark; and casual sneakers, apparel, and accessories under the Converse, Chuck Taylor, All Star, One Star, Star Chevron, and Jack Purcell trademarks. Additionally, the company licenses agreements that permit unaffiliated parties to manufacture and sell apparel, digital devices, and applications and other equipment for sports activities under NIKE-owned trademarks. It sells its products to footwear stores; sporting goods stores; athletic specialty stores; department stores; skate, tennis, and golf shops; and other retail accounts through NIKE-owned retail stores, digital platforms, independent distributors, licensees, and sales representatives. The company was formerly known as Blue Ribbon Sports, Inc. and changed its name to NIKE, Inc. in 1971. NIKE, Inc. was founded in 1964 and is headquartered in Beaverton, Oregon.",Beaverton,503 671 6453,OR,United States,[],http://www.nike.com,1,One Bowerman Drive,Footwear & Accessories,0.18024999,0.12859,0.44908002,6656999936.0,0.955,0.16236,8028000256.0,131.0,buy,20001000000,5618375168.0,180.0,170.64,,2.718,0.13084,30,180.88,100.36,0.55009,214,13475999744,12812999680,44537999360,8.519,USD,28.314,1.854,1.9,NYQ,"Nike, Inc.","NIKE, Inc.",America/New_York,EDT,False,-14400000,EQUITY,NKE,finmb_291981,us_market,,6.103,,33.861,0.6078671,,5.1,,1278089984,,,,8.091,11697620,0.0074,,1622419200,3.5120902,5727000064,3.56,0.275,0.31688225,21.090101,0.05111,1685491200,,1622419200,2.05,1625011200,1260015401,0.878429,271833890816,2,,1450915200.0,2:1,,1622160000,,,6.065387,1627603200,2.16,,33.458824,,0.0117,13081945,1583100032.0,,,171.27,170.89,142.02734,0.0062474455,0.3006,,171.3,,4405675,171.27,161.77657,1.07,170.89,,4405675,,,1.1,1630022400.0,,,169.4978,USD,47.932587,3880097,,,,270140194816,,,6545389,169.4978,170.72,900,3880097,174.38,,1.03,105.12,170.21,False,0.0064,800,171.3,170.64,https://logo.clearbit.com/nike.com,,
19,10017,Healthcare,78500,"Pfizer Inc. discovers, develops, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers medicines and vaccines in various therapeutic areas, including cardiovascular metabolic and pain under the Eliquis, Chantix/Champix, and Premarin family brands; biologics, small molecules, immunotherapies, and biosimilars under the Ibrance, Xtandi, Sutent, Inlyta, Retacrit, Lorbrena, and Braftovi brands; and sterile injectable and anti-infective medicines under the Sulperazon, Medrol, Zithromax, Vfend, and Panzyga brands. The company also provides medicines and vaccines in various therapeutic areas, such as pneumococcal disease, meningococcal disease, tick-borne encephalitis, and COVID-19 under the Prevnar 13/Prevenar 13 (pediatric/adult), Nimenrix, FSME/IMMUN-TicoVac, Trumenba, and the Pfizer-BioNTech COVID-19 vaccine brands; biosimilars for chronic immune and inflammatory diseases under the Xeljanz, Enbrel, Inflectra, and Eucrisa/Staquis brands; and amyloidosis, hemophilia, and endocrine diseases under the Vyndaqel/Vyndamax, BeneFIX, and Genotropin brands. In addition, the company is involved in the contract manufacturing business. It serves wholesalers, retailers, hospitals, clinics, government agencies, pharmacies, and individual provider offices, as well as disease control and prevention centers. The company has collaboration agreements with Bristol-Myers Squibb Company; Astellas Pharma US, Inc.; Myovant Sciences Ltd.; Akcea Therapeutics, Inc; Merck KGaA; Valneva SE; BioNTech SE; Arvinas, Inc.; and Syapse, Inc. Pfizer Inc. was founded in 1849 and is headquartered in New York, New York.",New York,212 733 2323,NY,United States,[],http://www.pfizer.com,1,235 East 42nd Street,Drug Manufacturers—General,0.35974,0.23798999,0.7112,,0.608,0.27302,19972999168.0,38.0,hold,33334000000,,43.0,47.24,0.613,,,20,43.32,57.648,,53,13671999488,39699001344,55520002048,2.442,USD,9.958,,2.6,NYQ,"Pfizer, Inc.",Pfizer Inc.,America/New_York,EDT,False,-14400000,EQUITY,PFE,finmb_162270,us_market,,5.142,,14.294,0.27877235,,3.42,,5597689856,,,,12.267,54504661,0.0097,,1609372800,0.66855,12323999744,2.342,0.39,0.31688225,3.8509824,0.00037999998,1672444800,,1625356800,2.19,1625011200,5592040196,0.67079,285501194240,2,,1605571200.0,1054:1000,,1627516800,,0.624,4.762876,1627603200,0.92,,13.812865,,0.0097,63146117,,,,46.31,46.5,38.270073,0.033254154,0.828,,47.4,,42546100,46.31,41.570286,1.54,46.5,,42546100,,,1.56,1627516800.0,,,46.34,USD,20.170795,29630006,,,,264434876416,,,25634198,46.34,47.28,3200,29630006,48.57,,3.7,32.827324,47.2,False,0.0337,3100,47.4,47.24,https://logo.clearbit.com/pfizer.com,,
