,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,trailingPE,address2,fax
24,06901,Communication Services,96100.0,"Charter Communications, Inc. operates as a broadband connectivity and cable operator company serving residential and commercial customers in the United States. The company provides Internet services, such as security suite that protects computers from viruses and spyware; in-home WiFi, which provides customers with high performance wireless routers to enhance their in-home wireless Internet experience; out-of-home WiFi; and Spectrum WiFi services, as well as video services. It also offers voice communications services using voice over Internet protocol technology; and broadband communications solutions, such as Internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. In addition, the company provides mobile services; offers video programming, static IP and business WiFi, email and security, and multi-line telephone services, as well as Web-based service management; sells local advertising across various platforms for networks, such as MTV, CNN, and ESPN; sells advertising inventory to local sports and news channels; and offers Audience App for optimizes linear inventory. Further, it offers communications products and managed service solutions; data connectivity services to mobile and wireline carriers on a wholesale basis; and owns and operates regional sports and news networks. The company serves approximately 31 million customers in 41 states. Charter Communications, Inc. was founded in 1993 and is headquartered in Stamford, Connecticut.",Stamford,203-905-7801,CT,United States,[],http://corporate.charter.com,1,400 Atlantic Street,Entertainment,0.3808,0.07432,0.44369,15093000192.0,0.067,0.18343,18613999616.0,575.0,buy,21198000000.0,5534875136.0,770.0,774.57,1.207,0.369,0.03865,27.0,747.33,317.589,0.12926,848.0,772000000.0,86324002816.0,48881000448.0,4.092,USD,245.374,0.319,2.2,NMS,"Charter Communications, Inc.","Charter Communications, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,CHTR,,,finmb_19609,8126b1f2-3d69-3a83-9d74-85cd4b083a2e,us_market,,4.605,,12.094,,,27.81,,188666000.0,,,,111.292,8899840.0,0.047199998,,1609372800.0,0.62547,3632999936.0,17.693,,,6.9597993,0.28665,1672444800.0,,1617148800.0,9.73,1619740800.0,117810698.0,0.982065,225121091584.0,2,,1463529600.0,0:1,,,1.038,2.9896078,1622160000.0,0.99,,27.852213,,0.087799996,8600392.0,,,776.65,777.0,668.07715,,0.0,,779.28,,782757,776.65,729.8817,,777.0,782757,,,,,,,771.33,USD,553644,,,,146135023616.0,,,823901,771.33,774.54,800,553644,779.28,,,572.46,774.37,False,,900,779.28,774.57,https://logo.clearbit.com/corporate.charter.com,43.778328,,
25,19103-2838,Communication Services,168000.0,"Comcast Corporation operates as a media and technology company worldwide. It operates through Cable Communications, Cable Networks, Broadcast Television, Filmed Entertainment, Theme Parks, and Sky segments. The Cable Communications segment offers cable services, including high-speed Internet, video, voice, wireless, and security and automation services to residential and business customers under the Xfinity brand, as well as sells advertising. The Cable Networks segment operates national cable networks that provide various entertainment, news and information, and sports content; regional sports and news networks; international cable networks; and various digital properties, including brand-aligned Websites, as well as engages in the cable television studio production operations. The Broadcast Television segment operates NBC and Telemundo broadcast networks, NBC and Telemundo local broadcast television stations, broadcast television studio production operations, and various digital properties. The Filmed Entertainment segment produces, acquires, markets, and distributes filmed entertainment under the Universal Pictures, Illumination, DreamWorks Animation, and Focus Features names. It also develops, produces, and licenses stage plays; and distributes filmed entertainment produced by third parties. The Theme Parks segment operates Universal theme parks in Orlando, Florida; Hollywood, California; and Osaka, Japan. The Sky segment offers direct-to-consumer services, such as video, high-speed Internet, voice, and wireless phone services; and content services comprising operating entertainment networks, the Sky News broadcast network, and Sky Sports networks. The company also owns the Philadelphia Flyers, as well as the Wells Fargo Center arena in Philadelphia, Pennsylvania; and provides streaming service, such as Peacock. Comcast Corporation was founded in 1963 and is headquartered in Philadelphia, Pennsylvania.",Philadelphia,215 286 1700,PA,United States,[],http://corporate.comcast.com,1,One Comcast Center,Entertainment,0.29645002,0.11248,0.67608,26663999488.0,0.022,0.16974,30877999104.0,49.0,buy,70443000000.0,11636750336.0,65.0,59.03,0.543,0.955,0.04085,32.0,64.58,115.04,0.13173,75.0,14949999616.0,108881002496.0,104160002048.0,3.254,USD,22.736,0.842,2.0,NMS,Comcast Corporation,Comcast Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CMCSA,,,finmb_173341,a2a4a9fb-fa19-3b96-b114-1a9bb23a7386,us_market,,3.504,,11.822,,,3.69,,4584840192.0,,,,20.151,72898390.0,0.0159,,1609372800.0,0.85603,11715999744.0,2.53,,,2.9293833,0.00661,1672444800.0,,1617148800.0,4.78,1623715200.0,4552853915.0,1.038084,365027590144.0,2,,1487635200.0,2:1,,,0.551,2.6036956,1626307200.0,1.02,,15.99729,,0.016,71273068.0,,,59.09,59.05,55.593987,0.015907938,0.37150002,,59.14,,10287214,59.09,57.746857,0.94,59.05,10287214,,,1.0,1625529600.0,,,58.59,USD,9129635,,,,271200944128.0,,,14971626,58.59,59.02,4000,9129635,59.7,,1.8,40.97,59.03,False,0.0171,3100,59.14,59.03,https://logo.clearbit.com/corporate.comcast.com,23.332016,1701 John F. Kennedy Boulevard,215 286 7794
26,98027,Consumer Defensive,156000.0,"Costco Wholesale Corporation, together with its subsidiaries, engages in the operation of membership warehouses in the United States, Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Korea, Australia, Spain, France, Iceland, China, and Taiwan. It offers branded and private-label products in a range of merchandise categories. The company provides dry and packaged foods, and groceries; snack foods, candies, alcoholic and nonalcoholic beverages, and cleaning supplies; appliances, electronics, health and beauty aids, hardware, and garden and patio products; meat, bakery, and deli products, as well as produce; and apparel and small appliances. It also operates pharmacies, optical dispensing centers, food courts, and hearing-aid centers, as well as 615 gas stations; and offers business delivery, travel, same-day grocery, and various other services online in various countries. As of October 07, 2020, the company operated 796 warehouses, including 552 in the United States and Puerto Rico, 102 in Canada, 39 in Mexico, 29 in the United Kingdom, 27 in Japan, 16 in South Korea, 13 in Taiwan, 12 in Australia, 3 in Spain, 1 in Iceland, 1 in France, and 1 in China. It also operates e-commerce websites in the United States, Canada, the United Kingdom, Mexico, South Korea, Taiwan, Japan, and Australia. The company was formerly known as Costco Companies, Inc. and changed its name to Costco Wholesale Corporation in August 1999. Costco Wholesale Corporation was founded in 1976 and is based in Issaquah, Washington.",Issaquah,425 313 8100,WA,United States,[],http://www.costco.com,1,999 Lake Drive,Discount Stores,0.046490002,0.025320001,0.13069999,10259999744.0,0.215,0.03724,8677000192.0,249.0,buy,21930000000.0,6829499904.0,415.0,445.36,0.455,0.998,0.0797,27.0,408.41,60.257,0.28024998,453.0,11125999616.0,10227999744.0,186636992512.0,25.168,USD,421.266,0.455,2.1,NMS,Costco Wholesale Corporation,Costco Wholesale Corporation,America/New_York,EDT,True,-14400000,,EQUITY,COST,,,finmb_92817,ab9e914f-db40-3f4b-8924-8140f0082aa4,us_market,,0.932,,20.052,,,10.99,,442534016.0,,,,35.359,4239412.0,0.0095999995,,1598745600.0,0.68267995,4726000128.0,9.779,,,12.595378,0.0021799998,1661817600.0,,1620518400.0,2.17,1620950400.0,440848980.0,0.644021,173994672128.0,2,,947808000.0,2:1,,,0.456,1.0559907,1623715200.0,3.33,,40.524113,,0.0095999995,4287622.0,,,444.3,443.0,374.44284,0.0063020485,0.2716,,446.62,,1570328,444.3,414.33856,2.8,443.0,1570328,,,3.16,1619654400.0,,,442.26,USD,1161737,,,,197086937088.0,,,1844010,442.26,445.16,800,1161737,446.62,,0.96,307.0,444.0,False,0.008,1100,446.62,445.36,https://logo.clearbit.com/costco.com,45.54249,,
27,95134,Technology,77500.0,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and cloud and system management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with Internet2 to deliver next-generation capabilities and software solutions; and Tele2 Iot on connectivity management platform 2CONTROL. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California.",San Jose,408 526 4000,CA,United States,[],http://www.cisco.com,1,170 West Tasman Drive,Communication Equipment,0.31235,0.20919001,0.63944,14752000000.0,0.068,0.27736,15256999936.0,45.0,buy,31683000000.0,10973124608.0,56.0,56.39,0.044,1.527,0.091400005,24.0,55.79,31.185,0.2692,65.0,23579000832.0,12538000384.0,48846000128.0,5.595,USD,11.562,1.357,2.3,NMS,"Cisco Systems, Inc.","Cisco Systems, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,CSCO,,,finmb_19691,85fd1bb0-e226-3a6a-b3e9-b5dc1a4952f1,us_market,,4.57,,14.631,,,3.4,,4214200064.0,,,,9.539,32077057.0,0.0076,,1595635200.0,0.75508004,10218000384.0,2.419,,,5.9115214,0.00059,1658707200.0,,1619827200.0,2.0,1623715200.0,4210917561.0,0.894566,223226642432.0,2,,953769600.0,2:1,,,0.032,4.8650603,1626307200.0,2.78,,16.585293,,0.0076,36250889.0,,,55.86,55.85,51.24587,0.025957752,0.5992,,56.45,,12829628,55.86,54.143143,1.45,55.85,12829628,,,1.48,1625184000.0,,,55.66,USD,10917319,,,,237638746112.0,,,17288165,55.66,56.39,4000,10917319,56.45,,3.0,35.28,56.39,False,0.026600001,1000,56.45,56.39,https://logo.clearbit.com/cisco.com,23.311287,,408 853 3683
28,32202,Industrials,19000.0,"CSX Corporation, together with its subsidiaries, provides rail-based freight transportation services. The company offers rail services; and transportation of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. It transports chemicals, agricultural and food products, automotive, minerals, forest products, fertilizers, and metals and equipment; and coal, coke, and iron ore to electricity-generating power plants, steel manufacturers, and industrial plants, as well as exports coal to deep-water port facilities. The company also offers intermodal transportation services through a network of approximately 30 terminals transporting manufactured consumer goods in containers; and drayage services, including the pickup and delivery of intermodal shipments. It serves the automotive industry with distribution centers and storage locations, as well as connects non-rail served customers through transferring products from rail to trucks, which includes plastics and ethanol. The company operates approximately 19,500 route mile rail network, which serves various population centers in 23 states east of the Mississippi River, the District of Columbia, and the Canadian provinces of Ontario and Quebec, as well as owns and leases approximately 3,539 locomotives. It also serves production and distribution facilities through track connections. CSX Corporation was incorporated in 1978 and is headquartered in Jacksonville, Florida.",Jacksonville,904-359-3200,FL,United States,[],http://www.csx.com,1,500 Water Street,Railroads,0.54302,0.25624,0.54302,4317000192.0,-0.015,0.41173,5724000256.0,20.67,buy,5795000000.0,1907124992.0,36.33,34.13,-0.07,2.392,0.06909,24.0,35.47,127.659,0.21566999,38.67,2956999936.0,16800000000.0,10540999680.0,3.904,USD,13.811,2.174,2.1,NMS,CSX Corporation,CSX Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CSX,,,finmb_257948,cae83bac-a0a9-3e3d-abad-1fd2a636df88,us_market,,8.618,,15.87,,,4.96,,757400000.0,,,,17.363,6167346.0,0.0081,,1609372800.0,0.77026004,2700999936.0,3.529,,,1.965674,0.00139,1672444800.0,,1617148800.0,1.72,1615766400.0,756453466.0,1.165471,90841735168.0,2,,1624924800.0,3:1,,,-0.083,2.4523351,1618444800.0,4.59,,6.8810487,,0.0082,8855458.0,,,33.98,34.0,31.923044,0.03119482,0.3003,,34.17,,6959300,33.98,32.020096,1.06,34.0,6959300,,,1.12,1614211200.0,,,33.61,USD,8291321,,,,25850062848.0,,,11013892,33.61,34.15,3000,8291321,34.95667,,1.48,24.416668,34.13,False,0.011,4000,34.17,34.13,https://logo.clearbit.com/csx.com,9.671295,15th Floor,
29,45262,Industrials,40000.0,"Cintas Corporation provides corporate identity uniforms and related business services primarily in North America, Latin America, Europe, and Asia. It operates through Uniform Rental and Facility Services and First Aid and Safety Services segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, and carpet and tile cleaning services, as well as sells uniforms. It also offers first aid and safety services, and fire protection products and services. The company provides its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. Cintas Corporation was founded in 1968 and is headquartered in Cincinnati, Ohio.",Cincinnati,513 459 1200,OH,United States,[],http://www.cintas.com,1,6800 Cintas Boulevard,Specialty Business Services,0.22151,0.14316,0.45845002,1261748992.0,-0.019,0.18053,1528481024.0,333.0,buy,3233748000.0,1055968640.0,377.0,388.65,0.097,2.345,0.09583,8.0,376.63,72.494,0.27667,411.0,553611008.0,2766752000.0,6900261888.0,5.27,USD,66.017,1.213,2.3,NMS,Cintas Corporation,Cintas Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CTAS,,,finmb_260725,1d3d7b01-7703-34ac-ba0b-74dff54e6e3b,us_market,,6.042,,27.275,,,10.23,,105053000.0,,,,36.334,990054.0,0.0094,,1590883200.0,0.66128,980628992.0,9.136,,,10.696592,0.14552,1653955200.0,,1614470400.0,2.51,1619740800.0,89720683.0,1.474456,41690030080.0,2,,952473600.0,3:2,,,0.102,5.9169993,1622160000.0,2.62,,37.991203,,0.0111,798246.0,,,389.18,388.01,355.87,0.010946092,0.4666,,389.105,,411442,389.18,385.87515,4.26,388.01,411442,,,3.0,1620864000.0,,,384.56,USD,265258,,,,40828846080.0,,,439114,384.56,388.94,900,265258,396.38,,0.99,307.65,388.92,False,0.008,900,389.105,388.65,https://logo.clearbit.com/cintas.com,42.5405,PO Box 625737,
30,07666,Technology,296500.0,"Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services in North America, Europe, and internationally. The company operates through four segments: Financial Services; Healthcare; Products and Resources; and Communications, Media and Technology. It offers customer experience enhancement, robotic process automation, analytics, and AI services in areas, such as digital lending, fraud detection, and next generation payments; and enhanced compliance, integrated health management, claims investigative services, and patient experience, as well as services that drive operational improvements in areas, such as claims processing, enrollment, membership, and billing to healthcare providers and payers, and life sciences companies, including pharmaceutical, biotech, and medical device companies. The company also provides solution to manufacturers, retailers and travel and hospitality companies, as well as companies providing logistics, energy and utility services; and cloud, interactive, and IoT services to information, media and entertainment, and communications and technology companies. Cognizant Technology Solutions Corporation was founded in 1994 and is headquartered in Teaneck, New Jersey.",Teaneck,201-801-0233,NJ,United States,[],http://www.cognizant.com,1,300 Frank West Burr Boulevard,Information Technology Services,0.17518,0.09092,0.36921,2983000064.0,0.042,0.14345,2948000000.0,56.5,buy,6060000000.0,1804249984.0,85.5,76.52,0.418,2.094,0.088520005,24.0,83.85,15.539,0.14134,97.0,2158000128.0,1715000064.0,16828000256.0,4.092,USD,31.396,1.819,2.4,NMS,Cognizant Technology Solutions ,Cognizant Technology Solutions Corporation,America/New_York,EDT,True,-14400000,,EQUITY,CTSH,,,finmb_386024,5d982cfb-cda3-3368-83e4-4d2610bc5294,us_market,,2.14,,12.214,,,4.39,,527412000.0,,,,20.903,8105988.0,0.0154,,1609372800.0,0.94139,1530000000.0,2.846,,,3.6607184,0.00232,1672444800.0,,1617148800.0,1.68,1619740800.0,525750537.0,1.152717,36006436864.0,2,,1394409600.0,2:1,,,0.376,2.398239,1622160000.0,1.68,,17.430523,,0.0154,8346578.0,,,75.05,75.02,74.25181,0.011992005,0.3158,,76.77,,2785642,75.05,70.19428,0.9,75.02,2785642,,,0.96,1621382400.0,,,74.95,USD,5767814,,,,40357564416.0,,,3774389,74.95,76.55,1300,5767814,82.73,,,65.04,76.53,False,0.0138,1400,76.77,76.52,https://logo.clearbit.com/cognizant.com,26.886858,,
31,33309,Technology,9000.0,"Citrix Systems, Inc., an enterprise software company, provides workspace, app delivery and security, and professional services worldwide. The company offers workspace services, including Citrix Workspace; Citrix Virtual Apps and Desktops; Citrix Content Collaboration, a cloud-based file sharing and storage solution, which provides enterprise-class data services on various corporate and personal mobile devices for businesses; Citrix Endpoint Management for mobility and device management capabilities; Citrix Analytics for Security that assesses the behavior of Citrix Virtual Apps and Desktops, and Citrix Workspace users and applies actions to protect sensitive corporate information; Citrix Analytics for Performance that uses machine learning to quantify user experience; Citrix Secure Workspace Access, which provides an end-to-end solution to implement Zero Trust principles; and Citrix Secure Internet Access, which provides a solution that protects direct internet access for branch and remote workers using unsanctioned apps. It also provides networking products comprising Citrix ADC, an application delivery controller and load balancing solution for web, traditional and cloud-native applications; and Citrix SD-WAN, a WAN Edge solution that delivers flexible, automated, secure connectivity and performance for the workspace. In addition, the company offers customer services, hardware maintenance, consulting, and product training and certification services. The company serves healthcare, financial services, technology, manufacturing, consumer, and government agencies. It markets and licenses its products through resellers, distributors, systems integrators, independent software vendors, original equipment manufacturers, and service providers. The company was formerly known as Citrus Systems, Inc. and changed its name to Citrix Systems, Inc. in March 2009. Citrix Systems, Inc. was founded in 1989 and is headquartered in Fort Lauderdale, Florida.",Fort Lauderdale,954 267 3000,FL,United States,[],http://www.citrix.com,1,851 West Cypress Creek Road,Software—Application,0.20366,0.13113,0.84422,864417984.0,-0.099,0.16646999,641833024.0,130.0,buy,2770936000.0,986577280.0,145.0,102.09,-0.5,0.688,0.05992,13.0,148.55,1469.29,26.86812,179.0,498176000.0,3668699904.0,3151521024.0,4.012,USD,25.597,0.555,2.4,NMS,"Citrix Systems, Inc.","Citrix Systems, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,CTXS,,,finmb_26524,2a2113bf-2c4e-3ae7-a455-27e94f21ccc7,us_market,,5.472,,26.866,,,6.88,,124167000.0,,,,2.024,2749796.0,0.0221,,1609372800.0,0.97233003,413272000.0,3.283,,,50.439724,0.0070200004,1672444800.0,,1617148800.0,1.98,1619740800.0,123271801.0,0.104347,17243617280.0,2,,1485907200.0,12558:10000,,,-0.503,4.022251,1622160000.0,2.06,,14.838662,,0.028399998,3039010.0,,,102.26,102.05,125.41471,0.013886171,0.4316,,102.52,,3090571,102.26,111.90657,1.42,102.05,3090571,,,1.48,1623283200.0,,,101.41,USD,1827233,,,,12676208640.0,,,1411543,101.41,102.05,1000,1827233,148.47,,,94.66,102.06,False,0.0128999995,1400,102.52,102.09,https://logo.clearbit.com/citrix.com,31.096558,,
32,23320,Consumer Defensive,60217.0,"Dollar Tree, Inc. operates discount variety retail stores. It operates through two segments, Dollar Tree and Family Dollar. The Dollar Tree segment offers merchandise at the fixed price of $1.00. It provides consumable merchandise, including candy and food, and health and personal care, as well as everyday consumables, such as household paper and chemicals, and frozen and refrigerated food; variety merchandise comprising toys, durable housewares, gifts, stationery, party goods, greeting cards, softlines, arts and crafts supplies, and other items; and seasonal goods that include Christmas, Easter, Halloween, and Valentine's Day merchandise. This segment operates 7,805 stores under the Dollar Tree and Dollar Tree Canada brands, as well as 15 distribution centers in the United States and two in Canada; and store support centers in Matthews, North Carolina and Chesapeake, Virginia. The Family Dollar segment operates general merchandise retail discount stores that offer consumable merchandise, which comprise food and beverages, tobacco, health and personal care, household chemicals, paper products, hardware and automotive supplies, diapers, batteries, and pet food and supplies; and home products, including housewares, home dÃ©cor, and giftware, as well as domestics, such as comforters, sheets, and towels. Its stores also provides apparel and accessories merchandise comprising clothing, fashion accessories, and shoes; and seasonal and electronics merchandise that include Christmas, Easter, Halloween, and Valentine's Day merchandise, as well as personal electronics, which comprise pre-paid cellular phones and services, stationery and school supplies, and toys. This segment operates 7,880 stores under the Family Dollar brand; and 11 distribution centers. The company was founded in 1986 and is headquartered in Chesapeake, Virginia.",Chesapeake,757 321 5000,VA,United States,[],http://www.dollartree.com,1,500 Volvo Parkway,Discount Stores,0.11552,0.057150003,0.31113002,2313499904.0,0.031,0.088520005,2968999936.0,95.0,buy,7824600000.0,1164637440.0,119.0,101.44,0.538,1.359,0.06849,22.0,117.59,130.646,0.21084999,130.0,1473900032.0,9682599936.0,25702199296.0,6.354,USD,109.15,0.378,2.4,NMS,"Dollar Tree, Inc.","Dollar Tree, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,DLTR,,,finmb_27685,93813a67-1334-34e6-a70f-a46e06dc4100,us_market,,1.217,,10.538,,,6.83,,231954000.0,,,,31.973,6241273.0,0.0269,,1611964800.0,0.93263,1468800000.0,6.21,,,3.172677,0.0128999995,1675036800.0,,1619827200.0,2.21,1620950400.0,228803938.0,0.866304,31288111104.0,2,,1340755200.0,2:1,,,0.513,0.9154631,1623715200.0,1.99,,14.852123,,0.0305,4582459.0,,,102.32,102.56,106.04384,,0.0,,102.755,,2137128,102.32,99.25314,,102.56,2137128,,,,,,,100.76,USD,3407484,,,,23529414656.0,,,2401839,100.76,101.42,2200,3407484,120.37,,,84.41,101.44,False,,2200,102.755,101.44,https://logo.clearbit.com/dollartree.com,16.334944,,
33,94065,Communication Services,9800.0,"Electronic Arts Inc. develops, markets, publishes, and distributes games, content, and services for game consoles, PCs, mobile phones, and tablets worldwide. The company develops and publishes games and services across various genres, such as sports, first-person shooter, action, role-playing, and simulation primarily under the Battlefield, The Sims, Apex Legends, Need for Speed, and Plants v. Zombies brands; and license games from others, including FIFA, Madden NFL, and Star Wars brands. It also provides advertising services; and licenses its games to third parties to distribute and host its games. The company markets and sells its games and services through digital distribution and retail channels, as well as directly to mass market retailers, specialty stores, and distribution arrangements. It has a strategic partnership with KLab Inc. for game development and operation. Electronic Arts Inc. was founded in 1982 and is headquartered in Redwood City, California.",Redwood City,650 628 1500,CA,United States,[],http://www.ea.com,1,209 Redwood Shores Parkway,Electronic Gaming & Multimedia,0.25238,0.20794001,0.74533,2060999936.0,0.05,0.22434,1431000064.0,135.0,buy,4168000000.0,1771874944.0,164.4,138.99,-0.39,2.211,0.06743,32.0,162.87,16.225,0.15513,184.0,6710000128.0,1292000000.0,5670000128.0,23.329,USD,19.602,2.144,2.1,NMS,Electronic Arts Inc.,Electronic Arts Inc.,America/New_York,EDT,True,-14400000,,EQUITY,EA,,,finmb_27963,96140e14-25e9-3e5a-bdce-3927751527d0,us_market,,5.997,,23.762,,,6.14,,287625984.0,,,,27.607,5426328.0,0.0189,,1585612800.0,0.94825,1179000064.0,4.045,,,5.0345926,0.00486,1648684800.0,,1609372800.0,2.39,1615766400.0,286285690.0,0.904026,34004023296.0,2,,1069113600.0,2:1,,,-0.39,7.050641,1618444800.0,0.92,,22.636808,,0.019,6151989.0,,,138.3,138.11,140.44232,0.0012292118,0.0419,,139.02,,3042042,138.3,141.5057,0.17,138.11,3042042,,,0.68,1614643200.0,,,136.93,USD,1871527,,,,39977136128.0,,,2238881,136.93,139.4,1200,1871527,150.3,,,110.15,138.99,False,0.0047999998,800,139.02,138.99,https://logo.clearbit.com/ea.com,34.36094,,
34,95125,Consumer Cyclical,12700.0,"eBay Inc. operates marketplace platforms that connect buyers and sellers worldwide. The company's Marketplace platform includes its online marketplace at ebay.com and the eBay suite of mobile apps. Its platforms enable users to list, buy, sell, and pay for items through various online, mobile, and offline channels that include retailers, distributors, liquidators, import and export companies, auctioneers, catalog and mail-order companies, classifieds, directories, search engines, commerce participants, shopping channels, and networks. The company was founded in 1995 and is headquartered in San Jose, California.",San Jose,408 376 7008,CA,United States,[],http://www.ebayinc.com,1,2025 Hamilton Avenue,Internet Retail,0.32494,0.25937998,0.74974996,2868999936.0,0.42,0.27049,3628000000.0,59.2,buy,7798000000.0,1114499968.0,67.0,68.89,-0.795,1.304,0.10024,25.0,69.69,195.57,0.91079,98.0,3423000064.0,7373000192.0,11164999680.0,5.025,USD,16.134,0.933,2.4,NMS,eBay Inc.,eBay Inc.,America/New_York,EDT,True,-14400000,,EQUITY,EBAY,,,finmb_27862,6cf6bfa4-6efa-3ac5-bd50-e46cbdb24cb5,us_market,,4.338,,13.351,,,4.52,,681262016.0,,,,5.536,23638812.0,0.0347,,1609372800.0,0.90472,2680000000.0,4.123,,,12.444003,0.036510002,1672444800.0,,1617148800.0,2.36,1619740800.0,655891453.0,1.144565,48436383744.0,2,,1437350400.0,2376:1000,,,-0.812,4.2035055,1622160000.0,1.18,,15.24115,,0.0348,16617096.0,,,68.02,67.17,62.783913,0.009703029,0.1741,,69.04,,7550928,68.02,69.05743,0.66,67.17,7550928,,,0.72,1622160000.0,,,66.36,USD,10660194,,,,46932140032.0,,,7138259,66.36,68.91,3200,10660194,74.13,,,45.36,68.9,False,0.0111,4000,69.04,68.89,https://logo.clearbit.com/ebayinc.com,16.708706,,408 376 7401
35,,,,"The investment seeks to replicate as closely as possible, before fees and expenses, the price and yield performance of the MVISÂ® Global Video Gaming & eSports Index (the ""index"").
 The fund normally invests at least 80% of its total assets in securities that comprise the fund&#39;s benchmark index. The index is a global index that tracks the performance of the global video gaming and eSports (also known as electronic sports) segment. The fund may invest in depositary receipts and securities denominated in foreign currencies. It is non-diversified.",,800-826-2333,,,[],,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NGM,VanEck Vectors Video Gaming and,VanEck Vectors Video Gaming and eSports ETF,America/New_York,EDT,True,-14400000,,ETF,ESPO,,,finmb_571155624,0f26a103-da90-346f-8eb2-f214118a2b4b,us_market,,,0.0,,,,,,,1539648000.0,,820848128.0,,,,VanEck,,,,,,,,,,0.0011999999,,,,,,,2,,,,Exchange Traded Fund,,,,,,,,,,,Technology,,66.73,66.74,70.827896,,,,67.22,67.71,77114,66.73,69.32257,,66.74,77114,,,,,,,66.5397,USD,76364,,,,,,,79784,66.5397,69.2,1100,76364,81.39,,,57.14,66.8,False,,900,67.22,67.22,,,,
